                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.2675,                0.69039,                 1.1494,                0.85919,                0.86912,                0.87264,                 0.3744,                 1.9165,                0.93502,                 1.5478,              0.0008843,              0.0008843,              0.0008843
                     47,                 1.2802,                0.67169,                 1.1436,                0.85559,                 0.8467,                0.86508,                0.41516,                 1.7151,                0.91631,                  1.426,             0.00087492,             0.00087492,             0.00087492
                     48,                 1.2675,                0.68539,                 1.1663,                0.84501,                0.90257,                0.91236,                0.43797,                 1.7143,                0.85069,                 1.4568,             0.00086539,             0.00086539,             0.00086539
                     49,                 1.2562,                0.67775,                 1.1578,                 0.8167,                0.87121,                0.88198,                0.43611,                 1.7233,                0.91921,                 1.4577,             0.00085573,             0.00085573,             0.00085573
                     50,                 1.2315,                0.68328,                 1.1452,                0.76115,                0.81143,                0.82045,                0.39223,                  1.782,                 1.1576,                 1.4902,             0.00084594,             0.00084594,             0.00084594
                     51,                 1.2591,                0.67655,                 1.1548,                0.88009,                0.82493,                0.89253,                0.47053,                 1.6199,                0.92841,                 1.3728,             0.00083603,             0.00083603,             0.00083603
                     52,                 1.2334,                0.67799,                 1.1176,                0.84713,                0.86548,                0.88262,                0.45488,                 1.6246,                0.89952,                 1.3926,             0.00082599,             0.00082599,             0.00082599
                     53,                 1.2402,                0.64413,                 1.1228,                0.88225,                 0.8462,                 0.8999,                 0.5091,                 1.5273,                0.84052,                  1.351,             0.00081584,             0.00081584,             0.00081584
                     54,                 1.2434,                0.65086,                 1.1328,                0.87071,                0.88452,                0.90138,                0.49186,                 1.6167,                0.82356,                 1.4029,             0.00080558,             0.00080558,             0.00080558
                     55,                 1.2016,                0.66357,                 1.1428,                0.87303,                0.85607,                0.88645,                0.42173,                  1.784,                0.90938,                 1.4887,             0.00079521,             0.00079521,             0.00079521
                     56,                 1.1746,                0.61551,                 1.1194,                0.88864,                0.87839,                0.92396,                0.47135,                 1.6113,                0.80789,                 1.3732,             0.00078474,             0.00078474,             0.00078474
