                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 0.9228,                0.60792,                 1.1494,                 0.9151,                 0.6581,                0.79213,                0.60855,                 1.0234,                0.59986,                 1.1543,             0.00040763,             0.00040763,             0.00040763
                     61,                0.90554,                0.60653,                 1.1467,                0.91848,                0.65459,                0.79257,                0.61501,                  1.008,                0.59493,                 1.1485,             0.00039111,             0.00039111,             0.00039111
                     62,                0.91446,                0.60453,                 1.1445,                0.91185,                0.66734,                0.79568,                0.61883,                0.99515,                0.58644,                 1.1439,             0.00037477,             0.00037477,             0.00037477
                     63,                 0.9059,                0.59512,                 1.1403,                0.90861,                0.66426,                0.79231,                0.61126,                  1.011,                 0.5945,                 1.1462,             0.00035861,             0.00035861,             0.00035861
                     64,                0.90084,                0.59107,                 1.1381,                0.91273,                0.67427,                0.79992,                 0.6212,                0.99656,                0.58839,                 1.1399,             0.00034265,             0.00034265,             0.00034265
                     65,                0.90631,                0.59569,                 1.1446,                0.90831,                 0.6768,                0.79999,                0.61777,                 1.0051,                0.59222,                 1.1484,              0.0003269,              0.0003269,              0.0003269
                     66,                0.89557,                0.58682,                 1.1354,                0.91126,                0.67155,                0.79929,                0.62045,                 1.0045,                0.59096,                 1.1479,             0.00031139,             0.00031139,             0.00031139
                     67,                0.89288,                0.58791,                 1.1364,                0.91135,                0.67005,                 0.7979,                 0.6221,                0.99269,                0.58806,                 1.1444,             0.00029612,             0.00029612,             0.00029612
                     68,                0.88659,                0.57947,                 1.1341,                0.90818,                0.66626,                0.79303,                0.61877,                0.99288,                0.59325,                 1.1458,             0.00028111,             0.00028111,             0.00028111
                     69,                0.88281,                0.57368,                 1.1317,                 0.9116,                0.66811,                0.79463,                0.61845,                 0.9959,                0.59217,                 1.1503,             0.00026638,             0.00026638,             0.00026638
