                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.2313,                0.68392,                  1.142,                 0.4203,                0.38784,                0.30744,                0.16289,                 1.6103,                 2.8104,                 1.3589,              0.0007635,              0.0007635,              0.0007635
                     59,                 1.2242,                0.65326,                 1.1396,                0.42375,                0.37205,                0.30205,                0.16102,                 1.5852,                 2.6456,                 1.3691,             0.00075275,             0.00075275,             0.00075275
                     60,                 1.2138,                0.65168,                 1.1247,                0.40501,                 0.3864,                0.29044,                0.14662,                 1.6739,                 2.6369,                 1.4233,             0.00074191,             0.00074191,             0.00074191
                     61,                 1.2309,                 0.7047,                 1.1507,                0.40052,                0.36036,                0.28578,                0.14206,                 1.6444,                 2.7819,                 1.3962,               0.000731,               0.000731,               0.000731
                     62,                 1.2443,                0.67031,                 1.1232,                 0.4018,                0.36531,                0.30706,                0.16075,                 1.6159,                 2.8239,                 1.3654,             0.00072001,             0.00072001,             0.00072001
                     63,                 1.2747,                0.68355,                 1.1494,                 0.4138,                0.37657,                0.31775,                0.16835,                 1.5818,                 2.8246,                 1.3336,             0.00070895,             0.00070895,             0.00070895
                     64,                 1.1918,                0.65687,                 1.1076,                0.41503,                0.38929,                0.31672,                0.17305,                 1.5698,                 2.8324,                 1.3406,             0.00069782,             0.00069782,             0.00069782
                     65,                 1.1834,                0.62488,                 1.1074,                0.39248,                0.34012,                0.27175,                0.14001,                 1.5959,                 3.0273,                 1.3572,             0.00068664,             0.00068664,             0.00068664
                     66,                 1.2371,                0.66441,                 1.1393,                0.43297,                0.38055,                0.31321,                0.17044,                 1.5698,                 2.7292,                 1.3252,             0.00067539,             0.00067539,             0.00067539
                     67,                 1.1731,                0.63183,                 1.1119,                0.40253,                0.33831,                0.27653,                0.14256,                 1.6507,                 3.0202,                 1.3766,              0.0006641,              0.0006641,              0.0006641
                     68,                 1.1908,                0.62149,                 1.1113,                0.36625,                0.35605,                0.26967,                 0.1469,                 1.6289,                 2.9603,                 1.3527,             0.00065277,             0.00065277,             0.00065277
                     69,                 1.1422,                 0.6017,                  1.089,                0.37303,                0.40306,                0.28068,                0.14201,                 1.6276,                 2.9145,                 1.3404,             0.00064139,             0.00064139,             0.00064139
                     70,                 1.1936,                0.63078,                 1.1083,                0.41621,                0.39636,                0.31148,                0.16976,                 1.5644,                 2.8341,                 1.3121,             0.00062998,             0.00062998,             0.00062998
